Batch Size,Epochs,Width,Layers,Lookback,Test Error
50,200,16,1,4,6.306563665170167e-06
50,200,16,1,16,6.920040761154676e-06
50,200,16,1,32,7.481302541828728e-06
50,200,16,2,4,6.976862935343318e-06
50,200,16,2,8,6.772040194222013e-06
50,200,16,2,16,8.997435499333666e-06
50,200,16,2,32,6.804118008591469e-06
50,200,4,1,8,3.4348208240503653e-06
50,200,8,1,8,8.910917282198223e-06
50,200,16,1,8,5.309206145697979e-06
50,200,32,1,8,7.217323294458433e-06
50,200,64,1,8,4.660335866827682e-06
50,200,16,1,8,3.4902047264490965e-06
50,100,4,2,4,6.559465083679681e-06
50,100,4,2,8,5.3911186420874015e-06
50,100,4,2,16,7.533161834641702e-06
50,100,4,2,16,4.2683021588217955e-06
50,100,8,2,4,4.826341419278113e-06
50,100,8,2,8,4.0069096410229e-06
50,100,8,2,16,8.058975812110269e-06
50,100,32,2,4,8.13539067135411e-06
50,100,32,2,8,4.366175958787154e-06
50,100,32,2,16,4.924543434307385e-06
50,200,4,1,4,6.449322670728485e-06
50,200,8,1,4,2.9637074632736227e-06
50,200,16,1,4,5.31113055890328e-06
50,200,32,1,4,4.126702318441667e-06
